Field,Field Name,Module,Field Type,Field Size,Description,Parent,Child,Field Reference,Parent Value,Parent Inverse,Parent_Child_Rules,2010 Reference,2010 Field,2010 FieldName,2010 Module,2010 Description,Comment
112,GOVT_S2_RT3_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 3 in Season 2 per night Double occupancy,,,,,,,,NEW,GOVT_S2_RT3_DBL,,Government/Military rate for Room Type 3 in Season 2 per night Double occupancy,NEW
113,SEASON3START,CS,Date,10,Season 3 start date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,129,SEASON3START,CS,Season 3 start date.  Use short date format:  MM/DD/YYYY   ,AMENDED
114,SEASON3END,CS,Date,10,Season 3 end date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,130,SEASON3END,CS,Season 3 end date.  Use short date format:  MM/DD/YYYY ,AMENDED
115,LRA_S3_RT1_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 1 in Season 3 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,139,LRA_S3_RT1_SGL,CS,Client negotiated LRA rate for Room Type 1 in Season 3 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
116,LRA_S3_RT1_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 1 in Season 3 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,140,LRA_S3_RT1_DBL,CS,Client negotiated LRA rate for Room Type 1 in Season 3 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
117,LRA_S3_RT2_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 2 in Season 3 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,141,LRA_S3_RT2_SGL,CS,Client negotiated LRA rate for Room Type 2 in Season 3 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
118,LRA_S3_RT2_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 2 in Season 3 per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,142,LRA_S3_RT2_DBL,CS,Client negotiated LRA rate for Room Type 2 in Season 3 per night (Rate you are offering to this client.) Double  occupancy,NO CHANGE
119,LRA_S3_RT3_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 3 in Season 3 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,LRA_S3_RT3_SGL,,Client negotiated LRA rate for Room Type 3 in Season 3 per night (Rate you are offering to this client.) Single occupancy,NEW
120,LRA_S3_RT3_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 3 in Season 3 per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,LRA_S3_RT3_DBL,,Client negotiated LRA rate for Room Type 3 in Season 3 per night (Rate you are offering to this client.) Double  occupancy,NEW
121,NLRA_S3_RT1_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 1 in Season 3 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,143,NLRA_S3_RT1_SGL,CS,Client negotiated non-LRA rate for Room Type 1 in Season 3 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
122,NLRA_S3_RT1_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 1 in Season 3 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,144,NLRA_S3_RT1_DBL,CS,Client negotiated non-LRA rate for Room Type 1 in Season 3 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
123,NLRA_S3_RT2_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 2 in Season 3 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,145,NLRA_S3_RT2_SGL,CS,Client negotiated non-LRA rate for Room Type 2 in Season 3 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
124,NLRA_S3_RT2_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 2 in Season 3 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,146,NLRA_S3_RT2_DBL,CS,Client negotiated non-LRA rate for Room Type 2 in Season 3 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
125,NLRA_S3_RT3_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 3 in Season 3 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,NLRA_S3_RT3_SGL,,Client negotiated non-LRA rate for Room Type 3 in Season 3 per night (Rate you are offering to this client.) Single occupancy,NEW
126,NLRA_S3_RT3_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 3 in Season 3 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,NLRA_S3_RT3_DBL,,Client negotiated non-LRA rate for Room Type 3 in Season 3 per night (Rate you are offering to this client.) Double occupancy,NEW
127,GOVT_S3_RT1_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 1 in Season 3 per night Single occupancy,,,,,,,,151,GOVT_S3_RT1_SGL,CS,Government/Military rate for Room Type 1 in Season 3 per night Single occupancy,NO CHANGE
128,GOVT_S3_RT1_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 1 in Season 3 per night Double occupancy,,,,,,,,152,GOVT_S3_RT1_DBL,CS,Government/Military rate for Room Type 1 in Season 3 per night Double occupancy,NO CHANGE
129,GOVT_S3_RT2_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 2 in Season 3 per night Single occupancy,,,,,,,,153,GOVT_S3_RT2_SGL,CS,Government/Military rate for Room Type 2 in Season 3 per night Single occupancy,NO CHANGE
130,GOVT_S3_RT2_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 2 in Season 3 per night Double occupancy,,,,,,,,154,GOVT_S3_RT2_DBL,CS,Government/Military rate for Room Type 2 in Season 3 per night Double occupancy,NO CHANGE
131,GOVT_S3_RT3_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 3 in Season 3 per night Single occupancy,,,,,,,,NEW,GOVT_S3_RT3_SGL,,Government/Military rate for Room Type 3 in Season 3 per night Single occupancy,NEW
132,GOVT_S3_RT3_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 3 in Season 3 per night Double occupancy,,,,,,,,NEW,GOVT_S3_RT3_DBL,,Government/Military rate for Room Type 3 in Season 3 per night Double occupancy,NEW
133,SEASON4START,CS,Date,10,Season 4 start date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,155,SEASON4START,CS,Season 4 start date.  Use short date format:  MM/DD/YYYY   ,AMENDED
134,SEASON4END,CS,Date,10,Season 4 end date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,156,SEASON4END,CS,Season 4 end date.  Use short date format:  MM/DD/YYYY ,AMENDED
135,LRA_S4_RT1_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 1 in Season 4 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,165,LRA_S4_RT1_SGL,CS,Client negotiated LRA rate for Room Type 1 in Season 4 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
136,LRA_S4_RT1_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 1 in Season 4 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,166,LRA_S4_RT1_DBL,CS,Client negotiated LRA rate for Room Type 1 in Season 4 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
137,LRA_S4_RT2_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 2 in Season 4 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,167,LRA_S4_RT2_SGL,CS,Client negotiated LRA rate for Room Type 2 in Season 4 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
138,LRA_S4_RT2_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 2 in Season 4 per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,168,LRA_S4_RT2_DBL,CS,Client negotiated LRA rate for Room Type 2 in Season 4 per night (Rate you are offering to this client.) Double  occupancy,NO CHANGE
139,LRA_S4_RT3_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 3 in Season 4 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,LRA_S4_RT3_SGL,,Client negotiated LRA rate for Room Type 3 in Season 4 per night (Rate you are offering to this client.) Single occupancy,NEW
140,LRA_S4_RT3_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 3 in Season 4 per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,LRA_S4_RT3_DBL,,Client negotiated LRA rate for Room Type 3 in Season 4 per night (Rate you are offering to this client.) Double  occupancy,NEW
141,NLRA_S4_RT1_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 1 in Season 4 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,169,NLRA_S4_RT1_SGL,CS,Client negotiated non-LRA rate for Room Type 1 in Season 4 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
142,NLRA_S4_RT1_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 1 in Season 4 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,170,NLRA_S4_RT1_DBL,CS,Client negotiated non-LRA rate for Room Type 1 in Season 4 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
143,NLRA_S4_RT2_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 2 in Season 4 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,171,NLRA_S4_RT2_SGL,CS,Client negotiated non-LRA rate for Room Type 2 in Season 4 per night (Rate you are offering to this client.) Single occupancy,NO CHANGE
144,NLRA_S4_RT2_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 2 in Season 4 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,172,NLRA_S4_RT2_DBL,CS,Client negotiated non-LRA rate for Room Type 2 in Season 4 per night (Rate you are offering to this client.) Double occupancy,NO CHANGE
145,NLRA_S4_RT3_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 3 in Season 4 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,NLRA_S4_RT 3_SGL,,Client negotiated non-LRA rate for Room Type 3 in Season 4 per night (Rate you are offering to this client.) Single occupancy,NEW
146,NLRA_S4_RT3_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 3 in Season 4 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,NLRA_S4_RT 3_DBL,,Client negotiated non-LRA rate for Room Type 3 in Season 4 per night (Rate you are offering to this client.) Double occupancy,NEW
147,GOVT_S4_RT1_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 1 in Season 4 per night Single occupancy,,,,,,,,177,GOVT_S4_RT1_SGL,CS,Government/Military rate for Room Type 1 in Season 4 per night Single occupancy,NO CHANGE
148,GOVT_S4_RT1_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 1 in Season 4 per night Double occupancy,,,,,,,,178,GOVT_S4_RT1_DBL,CS,Government/Military rate for Room Type 1 in Season 4 per night Double occupancy,NO CHANGE
149,GOVT_S4_RT2_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 2 in Season 4 per night Single occupancy,,,,,,,,179,GOVT_S4_RT2_SGL,CS,Government/Military rate for Room Type 2 in Season 4 per night Single occupancy,NO CHANGE
150,GOVT_S4_RT2_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 2 in Season 4 per night Double occupancy,,,,,,,,180,GOVT_S4_RT2_DBL,CS,Government/Military rate for Room Type 2 in Season 4 per night Double occupancy,NO CHANGE
151,GOVT_S4_RT3_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 3 in Season 4 per night Single occupancy,,,,,,,,NEW,GOVT_S4_RT3_SGL,,Government/Military rate for Room Type 3 in Season 4 per night Single occupancy,NEW
152,GOVT_S4_RT3_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 3 in Season 4 per night Double occupancy,,,,,,,,NEW,GOVT_S4_RT3_DBL,,Government/Military rate for Room Type 3 in Season 4 per night Double occupancy,NEW
153,SEASON5START,CS,Date,10,Season5 start date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,NEW,SEASON5START,,NEW,NEW
154,SEASON5END,CS,Date,10,Season5 end date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,NEW,SEASON5END,,NEW,NEW
155,LRA_S5_RT1_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 1 in Season 5 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,LRA_S5_RT1_SGL,,Client negotiated LRA rate for Room Type 1 in Season 5 per night (Rate you are offering to this client.) Single occupancy,NEW
156,LRA_S5_RT1_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 1 in Season 5 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,LRA_S5_RT1_DBL,,Client negotiated LRA rate for Room Type 1 in Season 5 per night (Rate you are offering to this client.) Double occupancy,NEW
157,LRA_S5_RT2_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 2 in Season 5 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,LRA_S5_RT2_SGL,,Client negotiated LRA rate for Room Type 2 in Season 5 per night (Rate you are offering to this client.) Single occupancy,NEW
158,LRA_S5_RT2_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 2 in Season 5 per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,LRA_S5_RT2_DBL,,Client negotiated LRA rate for Room Type 2 in Season 5 per night (Rate you are offering to this client.) Double  occupancy,NEW
159,LRA_S5_RT3_SGL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 3 in Season 5 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,LRA_S5_RT3_SGL,,Client negotiated LRA rate for Room Type 3 in Season 5 per night (Rate you are offering to this client.) Single occupancy,NEW
160,LRA_S5_RT3_DBL,CS,Number,"(20,2)",Client negotiated LRA rate for Room Type 3 in Season 5 per night (Rate you are offering to this client.) Double  occupancy,,,,,,,,NEW,LRA_S5_RT3_DBL,,Client negotiated LRA rate for Room Type 3 in Season 5 per night (Rate you are offering to this client.) Double  occupancy,NEW
161,NLRA_S5_RT1_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 1 in Season 5 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,NLRA_S5_RT1_SGL,,Client negotiated non-LRA rate for Room Type 1 in Season 5 per night (Rate you are offering to this client.) Single occupancy,NEW
162,NLRA_S5_RT1_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 1 in Season 5 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,NLRA_S5_RT1_DBL,,Client negotiated non-LRA rate for Room Type 1 in Season 5 per night (Rate you are offering to this client.) Double occupancy,NEW
163,NLRA_S5_RT2_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 2 in Season 5 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,NLRA_S5_RT2_SGL,,Client negotiated non-LRA rate for Room Type 2 in Season 5 per night (Rate you are offering to this client.) Single occupancy,NEW
164,NLRA_S5_RT2_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 2 in Season 5 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,NLRA_S5_RT2_DBL,,Client negotiated non-LRA rate for Room Type 2 in Season 5 per night (Rate you are offering to this client.) Double occupancy,NEW
165,NLRA_S5_RT3_SGL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 3 in Season 5 per night (Rate you are offering to this client.) Single occupancy,,,,,,,,NEW,NLRA_S5_RT 3_SGL,,Client negotiated non-LRA rate for Room Type 3 in Season 5 per night (Rate you are offering to this client.) Single occupancy,NEW
166,NLRA_S5_RT3_DBL,CS,Number,"(20,2)",Client negotiated non-LRA rate for Room Type 3 in Season 5 per night (Rate you are offering to this client.) Double occupancy,,,,,,,,NEW,NLRA_S5_RT 3_DBL,,Client negotiated non-LRA rate for Room Type 3 in Season 5 per night (Rate you are offering to this client.) Double occupancy,NEW
167,GOVT_S5_RT1_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 1 in Season 5 per night Single occupancy,,,,,,,,NEW,GOVT_S5_RT1_SGL,,Government/Military rate for Room Type 1 in Season 5 per night Single occupancy,NEW
168,GOVT_S5_RT1_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 1 in Season 5 per night Double occupancy,,,,,,,,NEW,GOVT_S5_RT1_DBL,,Government/Military rate for Room Type 1 in Season 5 per night Double occupancy,NEW
169,GOVT_S5_RT2_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 2 in Season 5 per night Single occupancy,,,,,,,,NEW,GOVT_S5_RT2_SGL,,Government/Military rate for Room Type 2 in Season 5 per night Single occupancy,NEW
170,GOVT_S5_RT2_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 2 in Season 5 per night Double occupancy,,,,,,,,NEW,GOVT_S5_RT2_DBL,,Government/Military rate for Room Type 2 in Season 5 per night Double occupancy,NEW
171,GOVT_S5_RT3_SGL,CS,Number,"(20,2)",Government/Military rate for Room Type 3 in Season 5 per night Single occupancy,,,,,,,,NEW,GOVT_S5_RT3_SGL,,Government/Military rate for Room Type 3 in Season 5 per night Single occupancy,NEW
172,GOVT_S5_RT3_DBL,CS,Number,"(20,2)",Government/Military rate for Room Type 3 in Season 5 per night Double occupancy,,,,,,,,NEW,GOVT_S5_RT3_DBL,,Government/Military rate for Room Type 3 in Season 5 per night Double occupancy,NEW
173,COMMISSIONABLE,CS,Y/N,1,Are client negotiated rates listed above commissionable? (Y or N),Y ,,P174,,,,,181,COMMISSIONABLE,CS,Are client negotiated rates listed above commissionable? (Y or N),NO CHANGE
174,COMM_PCT_CLIENT,CS,Number,"(2,0)","If the client negotiated rate is commissionable, what is the percentage?  (If the rate is net, enter 0)",,Y,173,"Y, N",NO,"If Field 173 = Y, enter a number > 0. If Field 173 = N, enter 0",,182,COMM_PCT_CLIENT,CS,"If the client negotiated rate is commissionable, what is the percentage?  (If the rate is net, enter 0)",NO CHANGE
175,LOAD_GDS,CS,Y/N,1,"If rates are accepted, will hotel load client negotiated rates in specified GDS? (Y or N)",,,,,,,,184,LOAD_GDS,CS,"If rates are accepted, will hotel load client negotiated rates in specified GDS? (Y or N)",NO CHANGE
